J_type,N-SIZE,Thk,Filler Size(2.4),Electrode  Size(2.5),Electrode  Size(3.25),Electrode  Size(4)
BW,18,45.24,0.604609898,0,4.232269288,24.02098785
BW,24,46.02,0.806146531,0,5.817327669,33.53133814
BW,34,47.1,1.142040919,0,8.241214198,49.63248101
BW,14,50,0.470252143,0,3.596793419,23.19486922
BW,10,50,0.361152588,0,2.762329254,17.81360738
BW,20,50.01,0.671788776,0,5.138276312,33.13552746
FW,1.5,52.37,0,0,2.210008512,0
BW,0.75,55,0.035308583,0,0.300600101,2.112789281
BW,6,55,0.222563092,0,1.894793895,13.31769424
BW,16,55,0.537431021,0,4.575426257,32.15871026
BW,24,59.54,0.806146531,0,7.386045243,55.60232289
BW,18,60,0.604609898,0,5.670260397,43.15607409
BW,12,60,0.428331466,0,4.017054555,30.57360542
BW,34,62.2,1.142040919,0,10.95741963,87.07290357
BW,20,80,0.671788776,0,7.31705072,65.4177016
BW,24,90,0.806146531,0,8.780460864,78.50124192
BW,6,110,0.222563092,0,2.424133142,21.67283303
